TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,"TC01_Verify Contractors Equipment Form ZC 6356 Display_Inland Marine_New Business_R1","The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is displayed with correct version and edition date in the Inland Marine LOB for new business submissions","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1863 Form Display",Done,Inland Marine,CAMS-1863,High,Positive
1,,"","","2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully and proceed to line selection",,,,,
1,,"","","3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,
1,,"","","4. Verify form ZC 6356 is listed in the coverage options","4. User should verify that form ZC 6356 is available and selectable in the Contractors Equipment coverage options",,,,,
1,,"","","5. Verify form edition date is ""03/25""","5. User should verify that the form edition date displays as ""03/25"" (March 2025 edition)",,,,,
1,,"","","6. Verify form version information is correctly displayed","6. User should verify that form version and edition date are properly displayed with correct metadata",,,,,
2,Manual,"TC02_Verify Form Auto-Attachment on ZC 6356 Selection_Inland Marine_New Business_R2","The objective of this test case is to validate that when user selects ZC 6356, the latest Contractors Equipment form is automatically attached to the documents","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Auto Attachment",Done,Inland Marine,CAMS-1863,High,Positive
2,,"","","2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",,,,,
2,,"","","3. Navigate to Inland Marine screen","3. User should be able to access the Inland Marine LOB configuration screen",,,,,
2,,"","","4. Select Contractors Equipment coverage with form ZC 6356","4. User should be able to select the Contractors Equipment coverage option",,,,,
2,,"","","5. Navigate to Documents section","5. User should be able to view the Documents section from the main menu or navigation",,,,,
2,,"","","6. Verify form ZC 6356 (03/25 edition) is automatically attached","6. User should verify that the latest Contractors Equipment form ZC 6356 (03/25 edition) appears in the attached documents list",,,,,
2,,"","","7. Verify form metadata includes edition date and version","7. User should verify that the attached document shows ""Edition: 03/25"" and proper versioning information",,,,,
3,Manual,"TC03_Verify Form Attachment with Old Version Replacement_Inland Marine_New Business_R2","The objective of this test case is to validate that the latest form ZC 6356 (03/25) replaces any old version when selected","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Old Version Replacement",Done,Inland Marine,CAMS-1863,High,Positive
3,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",",,,,,,
3,,,"3. Navigate to Inland Marine screen and configure coverage","3. User should be able to access and configure the Inland Marine LOB screen",",,,,,,
3,,,"4. Select Contractors Equipment form ZC 6356","4. User should be able to select form ZC 6356 from available coverage options",",,,,,,
3,,,"5. Navigate to Documents section and verify attachment","5. User should verify that the latest form (03/25 edition) is attached",",,,,,,
3,,,"6. Verify only one version of ZC 6356 exists in documents","6. User should verify that only the latest version (03/25) appears and no old versions are present",",,,,,,
4,Manual,"TC04_Verify Form ZC 6356 Attachment in Policy Change - Inception_Inland Marine_Policy Change Inception_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Policy Change - Inception transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Policy Change Inception",Done,Inland Marine,CAMS-1863,Medium,Positive
4,,,"2. Initiate Policy Change - Inception transaction","2. User should be able to create a policy change inception transaction successfully",",,,,,,
4,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
4,,,"4. Verify Contractors Equipment form ZC 6356 is selected","4. User should verify that form ZC 6356 is already populated from the original policy",",,,,,,
4,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
4,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest Contractors Equipment form (03/25 edition) is automatically attached to the transaction",",,,,,,
5,Manual,"TC05_Verify Form ZC 6356 Attachment in Policy Change - Midterm_Inland Marine_Policy Change Midterm_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Policy Change - Midterm transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Policy Change Midterm",Done,Inland Marine,CAMS-1863,Medium,Positive
5,,,"2. Initiate Policy Change - Midterm transaction","2. User should be able to create a midterm policy change transaction successfully",",,,,,,
5,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
5,,,"4. Verify Contractors Equipment form ZC 6356 is available","4. User should verify that form ZC 6356 is available for the midterm change",",,,,,,
5,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
5,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest form (03/25 edition) is automatically attached to the policy change",",,,,,,
6,Manual,"TC06_Verify Form ZC 6356 Edition Date is August Release Date_Inland Marine_New Business_R3","The objective of this test case is to validate that form ZC 6356 has an effective date corresponding to the August release date","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Effective Date",Done,Inland Marine,CAMS-1863,High,Positive
6,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",",,,,,,
6,,,"3. Navigate to Inland Marine screen and select Contractors Equipment form ZC 6356","3. User should be able to select form ZC 6356 from coverage options",",,,,,,
6,,,"4. Verify form effective date property","4. User should verify that the form effective date is set to August release date",",,,,,,
6,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
6,,,"6. Verify form ZC 6356 document shows August effective date","6. User should verify that the attached document displays the August effective date as the form effective date",",,,,,,
7,Manual,"TC07_Verify Form Metadata and Versioning Information_Inland Marine_New Business_R1","The objective of this test case is to validate that form ZC 6356 includes proper versioning and form edition date metadata","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Metadata",Done,Inland Marine,CAMS-1863,High,Positive
7,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",",,,,,,
7,,,"3. Navigate to Inland Marine screen and select Contractors Equipment coverage with ZC 6356","3. User should be able to select the coverage with form ZC 6356",",,,,,,
7,,,"4. Navigate to Documents section","4. User should be able to view all attached documents",",,,,,,
7,,,"5. Verify form document properties show version information","5. User should verify that document properties include version control information",",,,,,,
7,,,"6. Verify form edition date is ""03/25"" in metadata","6. User should verify that the metadata contains ""Edition: 03/25"" and ""Form: ZC 6356""",",,,,,,
7,,,"7. Verify form name is ""Contractors equipment form 6356""","7. User should verify that the form name displays as ""Contractors equipment form 6356"" in documents",",,,,,,
8,Manual,"TC08_Verify Form ZC 6356 Not Available for Non-Inland Marine LOBs_Inland Marine_New Business_Negative","The objective of this test case is to validate that form ZC 6356 is only available for Inland Marine LOB and not for other LOBs","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 LOB Restriction",Done,Inland Marine,CAMS-1863,Medium,Negative
8,,,"2. Create a Domestic submission with General Liability LOB","2. User should be able to create a submission with GL LOB",",,,,,,
8,,,"3. Navigate to General Liability screen","3. User should be able to view the GL LOB configuration screen",",,,,,,
8,,,"4. Verify Contractors Equipment form ZC 6356 is not available","4. User should verify that form ZC 6356 does not appear in the GL coverage options",",,,,,,
8,,,"5. Create a submission with Property LOB","5. User should be able to create a submission with Property LOB",",,,,,,
8,,,"6. Navigate to Property screen","6. User should be able to view the Property LOB configuration screen",",,,,,,
8,,,"7. Verify Contractors Equipment form ZC 6356 is not available","7. User should verify that form ZC 6356 does not appear in Property coverage options",",,,,,,
9,Manual,"TC09_Verify Form ZC 6356 Displays Correct Coverage Details_Inland Marine_New Business_Positive","The objective of this test case is to validate that form ZC 6356 displays correct coverage number and name details","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Coverage Details",Done,Inland Marine,CAMS-1863,High,Positive
9,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",",,,,,,
9,,,"3. Navigate to Inland Marine screen","3. User should be able to access the Inland Marine LOB screen",",,,,,,
9,,,"4. Verify Contractors Equipment coverage is displayed","4. User should verify that Contractors Equipment coverage option is available and visible",",,,,,,
9,,,"5. Verify coverage number displays as ""ZC 6356""","5. User should verify that the coverage is labeled with coverage number ""ZC 6356""",",,,,,,
9,,,"6. Verify coverage name displays as ""Contractors equipment form 6356""","6. User should verify that the coverage name is correctly displayed as ""Contractors equipment form 6356""",",,,,,,
9,,,"7. Verify form is selectable","7. User should be able to successfully select this form as part of the coverage configuration",",,,,,,
10,Manual,"TC10_Verify Form Attachment Persists After Price and Quote_Inland Marine_New Business_Positive","The objective of this test case is to validate that form ZC 6356 attachment persists through pricing and quoting process","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Persistence",Done,Inland Marine,CAMS-1863,High,Positive
10,,,"2. Create a Domestic submission with Inland Marine LOB and select form ZC 6356","2. User should be able to create submission with ZC 6356 selected",",,,,,,
10,,,"3. Fill all mandatory fields in Inland Marine screen","3. User should be able to populate all required fields",",,,,,,
10,,,"4. Navigate to Documents and verify form ZC 6356 is attached","4. User should verify that form ZC 6356 (03/25 edition) is attached",",,,,,,
10,,,"5. Click Price button to price the submission","5. User should be able to initiate pricing successfully",",,,,,,
10,,,"6. Navigate back to Documents section after pricing","6. User should be able to access the Documents section",",,,,,,
10,,,"7. Verify form ZC 6356 (03/25 edition) still attached after pricing","7. User should verify that form ZC 6356 remains attached with correct edition information",",,,,,,
10,,,"8. Click Quote button to generate quote","8. User should be able to initiate quote generation successfully",",,,,,,
10,,,"9. Navigate back to Documents section after quoting","9. User should be able to access the Documents section",",,,,,,
10,,,"10. Verify form ZC 6356 (03/25 edition) still attached after quoting","10. User should verify that form ZC 6356 remains attached with correct edition information after quoting",",,,,,,
11,Manual,"TC11_Verify Form ZC 6356 Attachment in Policy Change - Out of Sequence_Inland Marine_Policy Change Out of Sequence_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Policy Change - Out of Sequence transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Policy Change OOS",Done,Inland Marine,CAMS-1863,Medium,Positive
11,,,"2. Initiate Policy Change - Out of Sequence transaction","2. User should be able to create an out of sequence policy change transaction successfully",",,,,,,
11,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
11,,,"4. Verify Contractors Equipment form ZC 6356 is available","4. User should verify that form ZC 6356 is available for the OOS transaction",",,,,,,
11,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
11,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest form (03/25 edition) is automatically attached to the OOS change",",,,,,,
12,Manual,"TC12_Verify Form ZC 6356 Attachment in Policy Change - Preemption_Inland Marine_Policy Change Preemption_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Policy Change - Preemption transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Policy Change Preemption",Done,Inland Marine,CAMS-1863,Medium,Positive
12,,,"2. Initiate Policy Change - Preemption transaction","2. User should be able to create a preemption policy change transaction successfully",",,,,,,
12,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
12,,,"4. Verify Contractors Equipment form ZC 6356 is available","4. User should verify that form ZC 6356 is available for the preemption transaction",",,,,,,
12,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
12,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest form (03/25 edition) is automatically attached to the preemption change",",,,,,,
13,Manual,"TC13_Verify Form ZC 6356 Attachment in Cancel - Flat_Inland Marine_Cancel Flat_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) persists during Cancel - Flat transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Cancel Flat",Done,Inland Marine,CAMS-1863,Medium,Positive
13,,,"2. Initiate Cancel - Flat transaction","2. User should be able to create a flat cancel transaction successfully",",,,,,,
13,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
13,,,"4. Verify Contractors Equipment form ZC 6356 is present","4. User should verify that form ZC 6356 is present from the original policy",",,,,,,
13,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
13,,,"6. Verify form ZC 6356 (03/25 edition) is attached","6. User should verify that form ZC 6356 (03/25 edition) is attached to the cancel transaction",",,,,,,
14,Manual,"TC14_Verify Form ZC 6356 Attachment in Cancel - Pro Rata_Inland Marine_Cancel Pro Rata_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) persists during Cancel - Pro Rata transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Cancel Pro Rata",Done,Inland Marine,CAMS-1863,Medium,Positive
14,,,"2. Initiate Cancel - Pro Rata transaction","2. User should be able to create a pro rata cancel transaction successfully",",,,,,,
14,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
14,,,"4. Verify Contractors Equipment form ZC 6356 is present","4. User should verify that form ZC 6356 is present from the original policy",",,,,,,
14,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
14,,,"6. Verify form ZC 6356 (03/25 edition) is attached","6. User should verify that form ZC 6356 (03/25 edition) is attached to the cancel transaction",",,,,,,
15,Manual,"TC15_Verify Form ZC 6356 Attachment in Cancel - Short Rate_Inland Marine_Cancel Short Rate_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) persists during Cancel - Short Rate transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Cancel Short Rate",Done,Inland Marine,CAMS-1863,Medium,Positive
15,,,"2. Initiate Cancel - Short Rate transaction","2. User should be able to create a short rate cancel transaction successfully",",,,,,,
15,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
15,,,"4. Verify Contractors Equipment form ZC 6356 is present","4. User should verify that form ZC 6356 is present from the original policy",",,,,,,
15,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
15,,,"6. Verify form ZC 6356 (03/25 edition) is attached","6. User should verify that form ZC 6356 (03/25 edition) is attached to the cancel transaction",",,,,,,
16,Manual,"TC16_Verify Form ZC 6356 Attachment in Reinstatement_Inland Marine_Reinstatement_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Reinstatement transaction","1. Retrieve cancelled Inland Marine policy with ZC 6356","1. User should be able to access a cancelled policy from the system","Inland Marine/CAMS-1863 Reinstatement",Done,Inland Marine,CAMS-1863,Medium,Positive
16,,,"2. Initiate Reinstatement transaction","2. User should be able to create a reinstatement transaction successfully",",,,,,,
16,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
16,,,"4. Verify Contractors Equipment form ZC 6356 is available","4. User should verify that form ZC 6356 is available for the reinstatement",",,,,,,
16,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
16,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest form (03/25 edition) is automatically attached to the reinstatement",",,,,,,
17,Manual,"TC17_Verify Form ZC 6356 Attachment in Rewrite Full Term_Inland Marine_Rewrite Full Term_R2","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is automatically attached during Rewrite Full Term transaction","1. Retrieve existing Inland Marine policy with ZC 6356","1. User should be able to access an existing policy from the system","Inland Marine/CAMS-1863 Rewrite Full Term",Done,Inland Marine,CAMS-1863,Medium,Positive
17,,,"2. Initiate Rewrite Full Term transaction","2. User should be able to create a rewrite full term transaction successfully",",,,,,,
17,,,"3. Navigate to Inland Marine screen","3. User should be able to view the Inland Marine LOB configuration",",,,,,,
17,,,"4. Verify Contractors Equipment form ZC 6356 is available","4. User should verify that form ZC 6356 is available for the rewrite transaction",",,,,,,
17,,,"5. Navigate to Documents section","5. User should be able to access the Documents section",",,,,,,
17,,,"6. Verify latest form ZC 6356 (03/25 edition) is attached","6. User should verify that the latest form (03/25 edition) is automatically attached to the rewrite transaction",",,,,,,
18,Manual,"TC18_Verify Form Download and Content Accuracy_Inland Marine_New Business_Positive","The objective of this test case is to validate that the downloaded form ZC 6356 contains correct content and matches the 03/25 edition","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Download Content",Done,Inland Marine,CAMS-1863,High,Positive
18,,,"2. Create a Domestic submission with Inland Marine LOB and select ZC 6356","2. User should be able to create submission with ZC 6356 successfully",",,,,,,
18,,,"3. Navigate to Documents section","3. User should be able to view the Documents section",",,,,,,
18,,,"4. Verify form ZC 6356 (03/25 edition) is displayed in the documents list","4. User should verify that the form appears with correct edition metadata",",,,,,,
18,,,"5. Click Download button for form ZC 6356","5. User should be able to initiate download of the form",",,,,,,
18,,,"6. Verify downloaded file contains ""Contractors equipment form 6356""","6. User should verify that the downloaded document displays the correct form name",",,,,,,
18,,,"7. Verify downloaded file contains edition date ""03/25""","7. User should verify that the downloaded document shows ""Edition: 03/25"" or similar version identifier",",,,,,,
18,,,"8. Verify form content is readable and complete","8. User should verify that the form is not corrupted and all content is visible and complete",",,,,,,
19,Manual,"TC19_Verify Form ZC 6356 Payload Generation_Inland Marine_New Business_Positive","The objective of this test case is to validate that the latest form ZC 6356 (03/25 edition) is included in the system payload sent to Phoenix","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Payload",Done,Inland Marine,CAMS-1863,High,Positive
19,,,"2. Create a Domestic submission with Inland Marine LOB and select form ZC 6356","2. User should be able to create submission with ZC 6356 successfully",",,,,,,
19,,,"3. Fill all mandatory fields in Inland Marine and other required screens","3. User should be able to populate all required fields for submission",",,,,,,
19,,,"4. Click Submit/Initiate to submit the submission to Phoenix","4. User should be able to successfully submit the submission",",,,,,,
19,,,"5. Verify payload includes form ZC 6356 reference","5. System should include form ZC 6356 in the submission payload sent to Phoenix",",,,,,,
19,,,"6. Verify payload includes edition date ""03/25""","6. System should include ""Edition: 03/25"" in the form reference within the payload",",,,,,,
19,,,"7. Verify payload includes form version metadata","7. System should include proper version control and metadata information for form ZC 6356 in the payload",",,,,,,
20,Manual,"TC20_Verify Produced Scope - Form ZC 6356 Attachment_Inland Marine_New Business_Produced_Positive","The objective of this test case is to validate that form ZC 6356 (03/25 edition) is properly attached for Produced scope submissions in Inland Marine","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Produced Scope",Done,Inland Marine,CAMS-1863,Medium,Positive
20,,,"2. Create a Produced scope submission with Inland Marine LOB","2. User should be able to create a produced scope submission successfully",",,,,,,
20,,,"3. Navigate to Inland Marine screen and select Contractors Equipment with ZC 6356","3. User should be able to select form ZC 6356 for produced scope",",,,,,,
20,,,"4. Navigate to Documents section","4. User should be able to view the Documents section",",,,,,,
20,,,"5. Verify form ZC 6356 (03/25 edition) is attached for produced scope","5. User should verify that the latest form (03/25 edition) is attached for produced submissions",",,,,,,
20,,,"6. Verify form metadata shows produced scope indicator if applicable","6. User should verify that scope information is correctly reflected in the form attachment",",,,,,,
21,Manual,"TC21_Verify Multiple Inland Marine Coverages with ZC 6356_Inland Marine_New Business_Positive","The objective of this test case is to validate that form ZC 6356 is correctly attached when Inland Marine LOB includes multiple coverages","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Multiple Coverages",Done,Inland Marine,CAMS-1863,Medium,Positive
21,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a new submission successfully",",,,,,,
21,,,"3. Navigate to Inland Marine screen","3. User should be able to access the Inland Marine LOB screen",",,,,,,
21,,,"4. Select multiple coverages including Contractors Equipment with ZC 6356","4. User should be able to select multiple coverage options including form ZC 6356",",,,,,,
21,,,"5. Navigate to Documents section","5. User should be able to view the Documents section",",,,,,,
21,,,"6. Verify form ZC 6356 (03/25 edition) is attached among other coverage documents","6. User should verify that form ZC 6356 is correctly attached along with other selected coverages",",,,,,,
21,,,"7. Verify each coverage document is separate and distinct in the document list","7. User should verify that all documents are properly organized and no duplicates exist",",,,,,,
22,Manual,"TC22_Verify Form ZC 6356 in Combined with Other LOBs_Inland Marine_New Business_Combined LOBs_Positive","The objective of this test case is to validate that form ZC 6356 is correctly handled when Inland Marine is combined with other LOBs in same submission","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Combined LOBs",Done,Inland Marine,CAMS-1863,Medium,Positive
22,,,"2. Create a Domestic submission with multiple LOBs (Property, Inland Marine, GL)","2. User should be able to create a multi-LOB submission successfully",",,,,,,
22,,,"3. Navigate to Property screen and fill mandatory fields","3. User should be able to configure Property LOB",",,,,,,
22,,,"4. Navigate to Inland Marine screen and select Contractors Equipment with ZC 6356","4. User should be able to select form ZC 6356 in Inland Marine LOB",",,,,,,
22,,,"5. Navigate to GL screen and fill mandatory fields","5. User should be able to configure GL LOB",",,,,,,
22,,,"6. Navigate to Documents section","6. User should be able to view the Documents section",",,,,,,
22,,,"7. Verify form ZC 6356 (03/25 edition) is attached under Inland Marine documents","7. User should verify that form ZC 6356 is correctly attached to Inland Marine section only",",,,,,,
22,,,"8. Verify form ZC 6356 is not attached under Property or GL sections","8. User should verify that form ZC 6356 does not appear in other LOB sections",",,,,,,
23,Manual,"TC23_Verify Form ZC 6356 Cannot Be Deselected Once Required_Inland Marine_New Business_Negative","The objective of this test case is to validate system behavior when attempting to deselect form ZC 6356 once it is required","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Deselection","In Progress",Inland Marine,CAMS-1863,Low,Negative
23,,,"2. Create a Domestic submission with Inland Marine LOB and select ZC 6356","2. User should be able to create submission with ZC 6356 selected",",,,,,,
23,,,"3. Proceed to price the submission after filling all mandatory fields","3. User should be able to price the submission successfully",",,,,,,
23,,,"4. Attempt to navigate back to Inland Marine screen and deselect ZC 6356","4. System may allow deselection or display warning based on business rules",",,,,,,
23,,,"5. Verify system behavior when attempting to remove ZC 6356","5. User should verify if system allows removal or shows appropriate message",",,,,,,
24,Manual,"TC24_Verify Form Edition Date August Release Consistency_Inland Marine_New Business_R3","The objective of this test case is to validate that all instances of form ZC 6356 consistently show August release date as effective date","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 August Release","Done",Inland Marine,CAMS-1863,Medium,Positive
24,,,"2. Create multiple Domestic submissions with Inland Marine LOB and ZC 6356 on different dates","2. User should be able to create multiple submissions successfully",",,,,,,
24,,,"3. In first submission, navigate to Inland Marine and select ZC 6356","3. User should be able to select form ZC 6356",",,,,,,
24,,,"4. Navigate to Documents and verify effective date is August release date","4. User should verify form effective date matches August release date",",,,,,,
24,,,"5. In second submission, repeat steps 3-4 at a different time","5. User should be able to verify form effective date again",",,,,,,
24,,,"6. Compare effective dates across submissions","6. User should verify that both instances show the same August release date as effective date",",,,,,,
25,Manual,"TC25_Verify Form ZC 6356 Audit Trail_Inland Marine_New Business_Positive","The objective of this test case is to validate that form ZC 6356 attachment is properly logged in the system audit trail","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen","Inland Marine/CAMS-1863 Audit Trail","Done",Inland Marine,CAMS-1863,Low,Positive
25,,,"2. Create a Domestic submission with Inland Marine LOB and select ZC 6356","2. User should be able to create submission with ZC 6356 successfully",",,,,,,
25,,,"3. Complete submission workflow including pricing and quoting","3. User should be able to complete submission workflow",",,,,,,
25,,,"4. Navigate to submission Audit trail or Activity log","4. User should be able to view the audit trail for the submission",",,,,,,
25,,,"5. Verify form ZC 6356 attachment is logged with timestamp and version information","5. User should verify that form ZC 6356 (03/25 edition) attachment event is recorded in audit trail",",,,,,,
25,,,"6. Verify audit entry includes form edition date ""03/25""","6. User should verify that audit log shows edition information for the form",",,,,,,
